john_doe,"{""item"": ""Book"", ""title"": ""Python Programming"", ""price"": 39.99}"
john_doe,"{""item"": ""Headphones"", ""brand"": ""Sony"", ""price"": 199.99}"
jane_smith,"{""item"": ""Laptop"", ""model"": ""MacBook Pro"", ""price"": 1499.99}"
jane_smith,"{""item"": ""Phone"", ""model"": ""iPhone 15"", ""price"": 999.99}"
admin_alice,"{""item"": ""Desk"", ""type"": ""Standing Desk"", ""price"": 399.99}"
test_user,"{""product"": ""Car"", ""model"": ""Tesla Model S"", ""price"": 79999}"
test_user,"{""product"": ""Car"", ""model"": ""Tesla Model S""}"
test_user,"{""product"": ""Accessory"", ""name"": ""Charger""}"
john_doe,"{""item"": ""Book"", ""title"": ""Python Programming"", ""price"": 39.99}"
john_doe,"{""item"": ""Headphones"", ""brand"": ""Sony"", ""price"": 199.99}"
jane_smith,"{""item"": ""Laptop"", ""model"": ""MacBook Pro"", ""price"": 1499.99}"
jane_smith,"{""item"": ""Phone"", ""model"": ""iPhone 15"", ""price"": 999.99}"
admin_alice,"{""item"": ""Desk"", ""type"": ""Standing Desk"", ""price"": 399.99}"
john_doe,"{""item"": ""Book"", ""title"": ""Python Programming"", ""price"": 39.99}"
john_doe,"{""item"": ""Headphones"", ""brand"": ""Sony"", ""price"": 199.99}"
jane_smith,"{""item"": ""Laptop"", ""model"": ""MacBook Pro"", ""price"": 1499.99}"
jane_smith,"{""item"": ""Phone"", ""model"": ""iPhone 15"", ""price"": 999.99}"
admin_alice,"{""item"": ""Desk"", ""type"": ""Standing Desk"", ""price"": 399.99}"
john_doe,"{""item"": ""Book"", ""title"": ""Python Programming"", ""price"": 39.99}"
john_doe,"{""item"": ""Headphones"", ""brand"": ""Sony"", ""price"": 199.99}"
jane_smith,"{""item"": ""Laptop"", ""model"": ""MacBook Pro"", ""price"": 1499.99}"
jane_smith,"{""item"": ""Phone"", ""model"": ""iPhone 15"", ""price"": 999.99}"
admin_alice,"{""item"": ""Desk"", ""type"": ""Standing Desk"", ""price"": 399.99}"
john_doe,"{""item"": ""Book"", ""title"": ""Python Programming"", ""price"": 39.99}"
john_doe,"{""item"": ""Headphones"", ""brand"": ""Sony"", ""price"": 199.99}"
jane_smith,"{""item"": ""Laptop"", ""model"": ""MacBook Pro"", ""price"": 1499.99}"
jane_smith,"{""item"": ""Phone"", ""model"": ""iPhone 15"", ""price"": 999.99}"
admin_alice,"{""item"": ""Desk"", ""type"": ""Standing Desk"", ""price"": 399.99}"
john_doe,"{""item"": ""Book"", ""title"": ""Python Programming"", ""price"": 39.99}"
john_doe,"{""item"": ""Headphones"", ""brand"": ""Sony"", ""price"": 199.99}"
jane_smith,"{""item"": ""Laptop"", ""model"": ""MacBook Pro"", ""price"": 1499.99}"
jane_smith,"{""item"": ""Phone"", ""model"": ""iPhone 15"", ""price"": 999.99}"
admin_alice,"{""item"": ""Desk"", ""type"": ""Standing Desk"", ""price"": 399.99}"
john_doe,"{""item"": ""Book"", ""title"": ""Python Programming"", ""price"": 39.99}"
john_doe,"{""item"": ""Headphones"", ""brand"": ""Sony"", ""price"": 199.99}"
jane_smith,"{""item"": ""Laptop"", ""model"": ""MacBook Pro"", ""price"": 1499.99}"
jane_smith,"{""item"": ""Phone"", ""model"": ""iPhone 15"", ""price"": 999.99}"
admin_alice,"{""item"": ""Desk"", ""type"": ""Standing Desk"", ""price"": 399.99}"
john_doe,"{""item"": ""Book"", ""title"": ""Python Programming"", ""price"": 39.99}"
john_doe,"{""item"": ""Headphones"", ""brand"": ""Sony"", ""price"": 199.99}"
jane_smith,"{""item"": ""Laptop"", ""model"": ""MacBook Pro"", ""price"": 1499.99}"
jane_smith,"{""item"": ""Phone"", ""model"": ""iPhone 15"", ""price"": 999.99}"
admin_alice,"{""item"": ""Desk"", ""type"": ""Standing Desk"", ""price"": 399.99}"
john_doe,"{""item"": ""Book"", ""title"": ""Python Programming"", ""price"": 39.99}"
john_doe,"{""item"": ""Headphones"", ""brand"": ""Sony"", ""price"": 199.99}"
jane_smith,"{""item"": ""Laptop"", ""model"": ""MacBook Pro"", ""price"": 1499.99}"
jane_smith,"{""item"": ""Phone"", ""model"": ""iPhone 15"", ""price"": 999.99}"
admin_alice,"{""item"": ""Desk"", ""type"": ""Standing Desk"", ""price"": 399.99}"
